Ref,Val,Package,PosX,PosY,Rot,Side
"C302","1100pF","C_Rect_L7.0mm_W2.5mm_P5.00mm",-119.160000,-101.950000,0.000000,bottom
"C303","1800pF","C_Rect_L7.0mm_W2.5mm_P5.00mm",-105.960000,-102.740000,0.000000,bottom
"C304","91pF","C_Rect_L7.0mm_W2.5mm_P5.00mm",-102.820000,-94.910000,90.000000,bottom
"C305","1100pF","C_Rect_L7.0mm_W2.5mm_P5.00mm",-122.940000,-90.540000,90.000000,bottom
"J102","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",-51.325000,-101.260000,-90.000000,bottom
"J105","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",-51.052500,-77.750000,-90.000000,bottom
"J107","DB9 Female","DSUB-9_Female_EdgeMount_P2.77mm",-50.102500,-89.412500,90.000000,bottom
"L101","9T #24 Bifilar T50-43","Toroid_T-50A_TH_BF_CT",-117.890000,-111.220000,-90.000000,bottom
"L301","2.7uH","Toroid_T-60_2TH",-113.240000,-92.174650,90.000000,bottom
"MOD201","AdaFruit Charger","PinHeader_1x04_P2.54mm_Vertical",-75.377500,-61.990000,90.000000,bottom
