Ref,Val,Package,PosX,PosY,Rot,Side
"C101","100nF","C_0805_2012Metric",60.590000,-67.130000,0.000000,top
"C102","470nF","C_0805_2012Metric",72.660000,-65.560000,180.000000,top
"C103","470nF","C_0805_2012Metric",61.180000,-74.020000,0.000000,top
"C104","100nF","C_0805_2012Metric",101.000000,-72.120000,-90.000000,top
"C105","100nF","C_0805_2012Metric",89.940000,-100.630000,90.000000,top
"C106","470nF","C_0805_2012Metric",92.100000,-100.870000,90.000000,top
"C107","100nF","C_0805_2012Metric",86.970000,-104.170000,180.000000,top
"C108","470nF","C_0805_2012Metric",96.450000,-106.290000,-90.000000,top
"C109","10uF","C_0805_2012Metric",94.190000,-96.800000,0.000000,top
"C110","22uF","C_1210_3225Metric",100.580000,-109.480000,180.000000,top
"C111","47uF low ESR","C_2917",120.900000,-113.460000,0.000000,top
"C112","470nF","C_0805_2012Metric",102.820000,-116.330000,0.000000,top
"C201","10uF","C_0805_2012Metric",62.780000,-93.460000,0.000000,top
"C202","10nF","C_0805_2012Metric",64.690000,-89.880000,180.000000,top
"C203","10uF","C_0805_2012Metric",71.420000,-93.170000,180.000000,top
"C204","470nF","C_0805_2012Metric",125.420000,-76.680000,0.000000,top
"C205","10uF","C_0805_2012Metric",77.810000,-76.140000,0.000000,top
"C206","10uF","C_0805_2012Metric",82.560000,-98.060000,-90.000000,top
"C207","10uF","C_0805_2012Metric",121.920000,-85.860000,180.000000,top
"C208","10uF","C_0805_2012Metric",118.440000,-88.780000,-90.000000,top
"C209","10nF","C_0805_2012Metric",80.250000,-106.090000,-90.000000,top
"C210","10uF","C_0805_2012Metric",82.400000,-106.090000,90.000000,top
"C211","10nF","C_0805_2012Metric",85.350000,-90.850000,-90.000000,top
"C212","47uF low ESR","C_2917",81.380000,-87.820000,-90.000000,top
"C213","10uF","C_0805_2012Metric",77.470000,-84.490000,-90.000000,top
"C214","1uF","C_0805_2012Metric",90.050000,-76.940000,0.000000,top
"C215","47uF low ESR","C_2917",100.910000,-89.020000,0.000000,top
"C216","10uF","C_0805_2012Metric",56.220000,-62.890000,180.000000,top
"C217","470nF","C_0805_2012Metric",73.780000,-102.940000,-90.000000,top
"C218","100nF","C_0805_2012Metric",64.350000,-103.860000,-90.000000,top
"C301","470nF","C_0805_2012Metric",109.670000,-98.280000,90.000000,top
"C302","1100pF","C_0805_2012Metric",109.740000,-94.650000,90.000000,top
"C303","1800pF","C_0805_2012Metric",114.980000,-104.030000,90.000000,top
"C304","91pF","C_0805_2012Metric",121.630000,-103.330000,0.000000,top
"C305","1100pF","C_0805_2012Metric",119.380000,-94.870000,90.000000,top
"D101","1N914WT","D_SOD-523",102.120000,-69.540000,0.000000,top
"D102","1N914WT","D_SOD-523",96.440000,-66.830000,180.000000,top
"D103","Red LED","LED_0805_2012Metric",65.185000,-114.300000,90.000000,top
"D104","Green LED","LED_0805_2012Metric",74.525000,-114.300000,90.000000,top
"D105","ESD9B5.0ST5G_1","D_0603_1608Metric",54.240000,-90.800000,180.000000,top
"D106","ESD9B5.0ST5G_1","D_0603_1608Metric",54.260000,-93.550000,0.000000,top
"D107","Schottky Diode","D_SOD-123FL",93.870000,-93.440000,90.000000,top
"D108","ESD9B5.0ST5G_1","D_0603_1608Metric",54.580000,-86.020000,180.000000,top
"D109","ESD9B5.0ST5G_1","D_0603_1608Metric",54.620000,-83.840000,180.000000,top
"D110","ESD9B5.0ST5G_1","D_0603_1608Metric",54.600000,-89.090000,0.000000,top
"D111","ESD9B5.0ST5G_1","D_0603_1608Metric",57.700000,-96.120000,-90.000000,top
"D112","ESD9B5.0ST5G_1","D_0603_1608Metric",54.280000,-96.250000,0.000000,top
"D115","Schottky Diode","D_SOD-123FL",97.390000,-93.080000,0.000000,top
"D201","BAT54C","SC-59",97.800000,-72.870000,-90.000000,top
"D202","B330A Schottky Diode","D_SMB",130.940000,-79.170000,0.000000,top
"D203","Schottky Diode","D_SOD-123FL",69.770000,-99.760000,180.000000,top
"D204","Schottky Diode","D_SOD-123FL",81.320000,-72.670000,180.000000,top
"D206","Schottky Diode","D_SOD-123FL",63.750000,-99.590000,-90.000000,top
"D207","Schottky Diode","D_SOD-123FL",61.350000,-99.630000,-90.000000,top
"D208","1N4001","D_SOD-123F",119.625000,-82.482500,90.000000,top
"D209","1N4001","D_SOD-123F",117.225000,-81.362500,90.000000,top
"D210","B530","D_SMC",98.850000,-81.300000,90.000000,top
"F201","2.6A","Fuse_1812_4532Metric",135.350000,-73.050000,180.000000,top
"J101","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",80.750000,-110.685000,-90.000000,top
"J103","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",87.600000,-110.825000,-90.000000,top
"J104","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",61.270000,-114.320000,180.000000,top
"J106","Conn_01x02","PinSocket_1x02_P2.54mm_Vertical",70.410000,-114.320000,180.000000,top
"J201","Barrel_Jack_Switch","BarrelJack_CUI_PJ-036AH-SMT_Horizontal",115.280000,-70.460000,180.000000,top
"J203","External Fan Power","PinHeader_1x02_P2.54mm_Vertical",52.570000,-66.205000,180.000000,top
"J204","Controlled Power","PinHeader_1x02_P2.54mm_Vertical",66.700000,-63.850000,-90.000000,top
"J301","To Antenna","BNC_Amphenol_B6252HB-NPP3G-50_Horizontal",127.275000,-89.412500,-90.000000,top
"JP101","Jumper_3_Bridged12","Jumper_THT_1x03_Bridged12_P1.27mm_Vertical",105.055000,-107.090000,-90.000000,top
"JP102","Jumper_2_Bridged","Jumper_THT_1x02_P1.27mm_Vertical",101.690000,-112.790000,-90.000000,top
"L101","9T #24 Bifilar T50-43","Toroid_T-50A_TH_BF_CT_Vertical",108.290000,-111.860000,90.000000,top
"L201","2.2uH","WPN4020H2R2MT",137.220000,-78.820000,-90.000000,top
"L202","6.8uH","CDR7D28MN",88.940000,-71.340000,-90.000000,top
"L301","2.7uH","Toroid_T-60_2TH_Vertical",113.810000,-99.100000,0.000000,top
"L302","2.7uH","Toroid_T-60_2TH_Vertical",121.430000,-99.390000,180.000000,top
"P101","ISP/PDI","PinHeader_2x03_P2.54mm_Vertical_SMD",80.770000,-66.200000,90.000000,top
"Q101","NTS4173PT1G","SOT-323_SC-70",100.410000,-66.640000,-90.000000,top
"Q102","BSS138W-7-F","SOT-323_SC-70",103.190000,-65.810000,90.000000,top
"Q103","IRF610","TO-220_Neutral123_Vertical_LargePads",105.210000,-101.640000,50.000000,top
"Q201","RJK0354DSP","SOIC-8_3.9x4.9mm_P1.27mm",92.810000,-81.750000,90.000000,top
"R1","TBD","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",120.620000,-90.270000,0.000000,top
"R2","TBD","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",123.060000,-87.920000,180.000000,top
"R3","TBD","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",92.260000,-90.100000,0.000000,top
"R4","TBD","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",89.960000,-89.070000,90.000000,top
"R101","105k","R_0805_2012Metric",100.520000,-63.030000,180.000000,top
"R102","162k","R_0805_2012Metric",97.850000,-69.680000,0.000000,top
"R103","12.4k","R_0805_2012Metric",94.960000,-71.250000,90.000000,top
"R104","1k","R_0805_2012Metric",64.992500,-110.970000,0.000000,top
"R105","220","R_0805_2012Metric",74.335000,-110.970000,0.000000,top
"R106","47k","R_0805_2012Metric",57.260000,-90.920000,-90.000000,top
"R107","10k","C_0805_2012Metric",93.900000,-114.270000,180.000000,top
"R108","10k","C_0805_2012Metric",97.430000,-114.270000,180.000000,top
"R109","47 0.5W","R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical",108.970000,-106.490000,90.000000,top
"R110","162k","R_0805_2012Metric",102.250000,-99.800000,-90.000000,top
"R201","10k","C_0805_2012Metric",87.780000,-87.260000,90.000000,top
"R202","10k","C_0805_2012Metric",85.330000,-87.360000,90.000000,top
"R203","0.01 0.5W","R_0805_2012Metric",92.190000,-87.230000,90.000000,top
"R204","162k","R_0805_2012Metric",76.310000,-102.880000,90.000000,top
"R205","12.4k","R_0805_2012Metric",76.270000,-106.360000,90.000000,top
"SW101","SW_SPST","SW_SPST_TL1014BF160QG",82.190000,-116.190000,0.000000,top
"TP101","I2C1","PinHeader_1x04_P2.54mm_Vertical",91.750000,-116.680000,90.000000,top
"U101","AVR128DA28","SOIC-28W_7.5x17.9mm_P1.27mm",69.420000,-75.860000,180.000000,top
"U102","SI5351","MSOP-10_3x3mm_P0.5mm",92.190000,-104.750000,0.000000,top
"U103","TPS22810DBVT","SOT-23-6",98.087500,-97.600000,0.000000,top
"U104","LM5134","SOT-23-6-LM5134",100.800000,-106.020000,180.000000,top
"U201","LP2985-3.3","SOT-23-5",67.040000,-92.750000,180.000000,top
"U202","LP2985-3.3","SOT-23-5",81.659792,-102.080000,-90.000000,top
"U204","TPS22810DBVT","SOT-23-6",60.100000,-63.825000,0.000000,top
"U205","uA7805","SOT-223-4",69.100000,-105.370000,-90.000000,top
"U206","MIC2196YM","SOIC-8_3.9x4.9mm_P1.27mm",87.190000,-81.750000,90.000000,top
"W101","T2","Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small",97.610000,-101.910000,-110.000000,top
"X101","ECS-327TXO-30-TR","Oscillator_SMD_ECS_327TXO",60.962500,-70.095000,90.000000,top
