"Reference","Value","Datasheet","Footprint","Qty","DNP","Digi-Key Part No.","LCSC Part Number","Link","Manufacturer","Manufacturer PN","Description"
"BT201","LiIon Cell","~","Connector_Wire:SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm","1","","","","","","",""
"BT401","LiPo Battery","","","1","","","","https://www.adafruit.com/product/1570","Adafruit","1570","Lithium Ion Polymer Battery - 3.7v 100mAh"
"C101,C104,C105,C107,C218","100nF","~","Capacitor_SMD:C_0805_2012Metric","5","","1276-1099-1-ND","C29926","https://www.digikey.com/short/q2f22qnq","Samsung Electro-Mechanics","CL21B104KACNNNC","CAP CER 0.1UF 25V X7R 0805"
"C102,C103,C106,C108,C112,C204,C217,C301","470nF","","Capacitor_SMD:C_0805_2012Metric","8","","478-9924-1-ND","C342818","https://www.digikey.com/products/en?keywords=478-9924-1-ND","AVX Corporation","08051C474K4Z2A","CAP CER 0.47UF 100V X7R 0805"
"C109,C201,C203,C205,C206,C207,C208,C210,C216,C299","10uF","","Capacitor_SMD:C_0805_2012Metric","10","","445-14418-1-ND","C3843628","https://www.digikey.com/short/p8qdn4mp","TDK Corporation","C2012X5R1V106K125AC","CAP CER 10UF 35V X5R 0805"
"C110","22uF","","Capacitor_SMD:C_1210_3225Metric","1","","1276-3373-1-ND","C337455","https://www.digikey.com/products/en?keywords=1276-3373-1-ND","Samsung Electro-Mechanics","CL32A226MAJNNNE","CAP CER 22UF 25V X5R 1210"
"C111,C215","47uF low ESR","","SignalSlinger_Footprints:C_2917","2","","399-3904-1-ND","C122333","https://www.digikey.com/products/en?keywords=399-3904-1-ND","KEMET","T495X476K020ATE150","CAP TANT 47UF 10% 20V 2917"
"C202,C209","10nF","","Capacitor_SMD:C_0805_2012Metric","2","","399-C0805C103J5GEC7800CT-ND","C3887673","https://www.digikey.com/short/qd893213","KEMET","C0805C103J5GEC7800","CAP CER 0805 10NF 50V C0G 5%"
"C302,C305","1100pF","","Capacitor_SMD:C_0805_2012Metric","2","","GRM2195C2A112JA01D-ND","","","Murata Electronics","GRM2195C2A112JA01D","1100 pF ±5% 100V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"
"C303","1800pF","","Capacitor_SMD:C_0805_2012Metric","1","","","","","Murata Electronics","GCM2165C2A182GA16D","Multilayer Ceramic Capacitors MLCC - SMD/SMT 1800 pF 100 VDC 2% 0805 C0G (NP0) AEC-Q200"
"C304","91pF","","Capacitor_SMD:C_0805_2012Metric","1","","","","","KYOCERA AVX","08051A910FAT2A","Multilayer Ceramic Capacitors MLCC - SMD/SMT 100V 91pF C0G 0805 1%"
"D101,D102","1N914WT","","Diode_SMD:D_SOD-523","2","","1N4148WTDICT-ND","C83482","https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148WT-7/583731","Diodes Incorporated","1N4148WT-7","DIODE GEN PURP 80V 125MA SOD523"
"D103","Red LED","~","LED_SMD:LED_0805_2012Metric","1","","160-1415-1-ND","C94868","https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779","Lite-On Inc.","LTST-C170KRKT","LED RED CLEAR SMD"
