"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C111,C215";"C_2917";2;"47uF low ESR";;;
2;"U104";"SOT-23-6-LM5134";1;"LM5134";;;
3;"J205";"PhoenixContact_MC_0,5_4-G-2.5_1x04_P2.50mm_Horizontal";1;"Controlled Bat Pwr";;;
4;"U102";"MSOP-10_3x3mm_P0.5mm";1;"SI5351";;;
5;"JP101";"Jumper_THT_1x03_Bridged12_P1.27mm_Vertical";1;"Jumper_3_Bridged12";;;
6;"JP102";"Jumper_THT_1x02_P1.27mm_Vertical";1;"Jumper_2_Bridged";;;
7;"J101,J104,J103,J106";"PinSocket_1x02_P2.54mm_Vertical";4;"Conn_01x02";;;
8;"U206,U204,U103";"SOT-23-6";3;"TPS22810DBVT";;;
9;"C299,C203,C210,C208,C216,C205,C207,C109,C201,C206";"C_0805_2012Metric";10;"10uF";;;
10;"R110,R204,R102";"R_0805_2012Metric";3;"162k";;;
11;"D106,D110,D109,D112,D108,D111,D105";"D_0603_1608Metric";7;"ESD9B5.0ST5G_1";;;
12;"R104";"R_0805_2012Metric";1;"1k";;;
13;"D206,D204,D115,D203,D207,D107";"D_SOD-123FL";6;"Schottky Diode";;;
14;"C102,C108,C301,C103,C204,C106,C112,C217";"C_0805_2012Metric";8;"470nF";;;
15;"U202,U201";"SOT-23-5";2;"LP2985-3.3";;;
16;"R1,R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";2;"TBD";;;
17;"D103";"LED_0805_2012Metric";1;"Red LED";;;
18;"J203";"PinHeader_1x02_P2.54mm_Vertical";1;"External Fan Power";;;
19;"D201";"SC-59";1;"BAT54C";;;
20;"R103,R205";"R_0805_2012Metric";2;"12.4k";;;
21;"D202";"D_SMB";1;"B330A Schottky Diode";;;
22;"U205";"SOT-223-4";1;"uA7805";;;
23;"D209,D208";"D_SOD-123F";2;"1N4001";;;
24;"W101";"Measurement_Point_ScopeProbe_Round-SMD-2sides-Pad_Small";1;"T2";;;
25;"C105,C101,C107,C218,C104";"C_0805_2012Metric";5;"100nF";;;
26;"Q102";"SOT-323_SC-70";1;"BSS138W-7-F";;;
27;"J201";"BarrelJack_CUI_PJ-036AH-SMT_Horizontal";1;"Barrel_Jack_Switch";;;
28;"R106";"R_0805_2012Metric";1;"47k";;;
29;"Q101";"SOT-323_SC-70";1;"NTS4173PT1G";;;
30;"D104";"LED_0805_2012Metric";1;"Green LED";;;
31;"R105";"R_0805_2012Metric";1;"220";;;
32;"C304";"C_0805_2012Metric";1;"91pF";;;
33;"JP202";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Ext-to-Linear";;;
34;"X101";"Oscillator_SMD_ECS_327TXO";1;"ECS-327TXO-30-TR";;;
35;"R107,R108";"C_0805_2012Metric";2;"10k";;;
36;"C202,C209";"C_0805_2012Metric";2;"10nF";;;
37;"D101,D102";"D_SOD-523";2;"1N914WT";;;
38;"C303";"C_0805_2012Metric";1;"1800pF";;;
39;"L201";"WPN4020H2R2MT";1;"2.2uH";;;
40;"X102";"Crystal_SMD_TXETCLSANF-4Pin";1;"25 MHz";;;
41;"C302,C305";"C_0805_2012Metric";2;"1100pF";;;
42;"U101";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"AVR128DA28";;;
43;"Q103";"TO-220_Neutral123_Vertical_LargePads";1;"IRF610";;;
44;"F201";"Fuse_1812_4532Metric";1;"2.6A";;;
45;"L301,L302";"Toroid_T-60_2TH_Vertical";2;"2.7uH";;;
46;"L101";"Toroid_T-50A_TH_BF_CT_Vertical";1;"9T #24 Bifilar T50-43";;;
47;"R109";"R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical";1;"47 0.5W";;;
48;"J301";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";1;"To Antenna";;;
49;"J204";"PinHeader_1x02_P2.54mm_Vertical";1;"Controlled Fan Power";;;
50;"JP203";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"Ext-to-Boost";;;
51;"C110";"C_1210_3225Metric";1;"22uF";;;
52;"TP101";"PinHeader_1x04_P2.54mm_Vertical";1;"I2C1";;;
53;"R101";"R_0805_2012Metric";1;"105k";;;
54;"SW101";"SW_SPST_TL1014BF160QG";1;"SW_SPST";;;
55;"J102";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
56;"JP201";"SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm";1;"V-ext disable";;;
57;"J105";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
58;"U203";"TO-220-3_Horizontal_TabDown";1;"TO-220 ADJ Reg.";;;
59;"MOD201";"PinHeader_1x04_P2.54mm_Vertical";1;"AdaFruit Charger";;;
60;"J107";"DSUB-9_Female_EdgeMount_P2.77mm";1;"DB9 Female";;;
61;"JP204";"SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Internal_V_Enable";;;
62;"P101";"PinHeader_2x03_P2.54mm_Vertical_SMD";1;"ISP/PDI";;;
