Item #,Ref Des,Value,Qty,Manufacturer,Mfg Part #,Footprint / Package,Description / Value,Digi-Key Part No.,LCSC Part Number,Link
1,C101 C104 C105 C107 C208,100nF,5,Samsung Electro-Mechanics,CL21B104KACNNNC,Capacitor_SMD:C_0805_2012Metric,CAP CER 0.1UF 25V X7R 0805,1276-1099-1-ND,C29926,https://www.digikey.com/short/q2f22qnq
2,C102 C103 C106 C108 C112 C204 C301,470nF,7,AVX Corporation,08051C474K4Z2A,Capacitor_SMD:C_0805_2012Metric,CAP CER 0.47UF 100V X7R 0805,478-9924-1-ND,C342818,https://www.digikey.com/products/en?keywords=478-9924-1-ND
3,C109 C201 C203 C205 C206 C207 C210 C216,10uF,8,Samsung Electro-Mechanics,CL21B103KBANNNC,Capacitor_SMD:C_0805_2012Metric,CAP CER 10UF 35V X5R 0805,1276-1015-1-ND,C3843628,https://www.digikey.com/short/p8qdn4mp
4,C213 C214 C215,22uF,3,Samsung Electro-Mechanics,CL21A226MOQNNNE,Capacitor_SMD:C_0805_2012Metric,CAP CER 22UF 16V X5R 1210,1276-2909-1-ND,,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226MOQNNNE/3888567
5,C110,22uF,1,Samsung Electro-Mechanics,CL32A226MAJNNNE,Capacitor_SMD:C_1210_3225Metric,CAP CER 22UF 25V X5R 1210,1276-3373-1-ND,C337455,https://www.digikey.com/products/en?keywords=1276-3373-1-ND
6,C111,47uF low ESR,1,KEMET,T495X476K020ATE150,Capacitors:C_2917,CAP TANT 47UF 10% 20V 2917,399-3904-1-ND,C122333,https://www.digikey.com/products/en?keywords=399-3904-1-ND
7,C202 C209,10nF,2,KEMET,C0805C103J5GEC7800,Capacitor_SMD:C_0805_2012,CAP CER 10000PF 50V X7R 0805,399-C0805C103J5GEC7800CT-ND,C3887673,https://www.digikey.com/short/cw5mtp9h
8,C211,10pF,1,KYOCERA AVX,KGM21BCG1H100JT,Capacitor_SMD:C_0805_2012Metric,CAP CER 10PF 50V C0G/NP0 0805,478-KGM21BCG1H100JTCT-ND,C157608,https://www.digikey.com/en/products/detail/kyocera-avx/KGM21BCG1H100JT/563414
9,C212,1uF,1,Samsung Electro-Mechanics,CL21B105KBFNNNG,Capacitor_SMD:C_0805_2012Metric,CAP CER 1UF 50V X7R 0805,1276-6470-1-ND,C28323,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KBFNNNG/3894467
10,D101 D102,1N914WT,2,Diodes Incorporated,1N4148WT-7,Diode_SMD:D_SOD-523,DIODE GEN PURP 80V 125MA SOD523,1N4148WTDICT-ND,C83482,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148WT-7/583731
11,D103,Red LED,1,Lite-On Inc.,LTST-C170KRKT,LED_SMD:LED_0805_2012Metric,LED RED CLEAR SMD,160-1415-1-ND,C94868,https://www.digikey.com/en/products/detail/liteon/LTST-C170KRKT/386779
